,Unnamed: 0,company,salary,lower_bound_salary,upper_bound_salary,base_pay,bonus_pay,cash_bonus,stock_bonus,Position_clean,Country
598,598,Microsoft,148770.0,142680.0,154860.0,148770.0,148770.0,169650.0,26970.0,Senior Data Scientist,UK
600,600,Virgin Media,85260.0,81780.0,88740.0,85260.0,85260.0,,,Senior Data Scientist,UK
601,601,Cognizant Technology Solutions,96570.0,92220.0,100920.0,96570.0,96570.0,,,Senior Data Scientist,UK
602,602,Arup,108750.0,104400.0,113100.0,108750.0,108750.0,3.48,,Senior Data Scientist,UK
603,603,Fujitsu,120060.0,114840.0,125280.0,118320.0,118320.0,,,Senior Data Scientist,UK
605,605,Centrica,173130.0,167040.0,179220.0,173130.0,173130.0,20010.0,,Senior Data Scientist,UK
606,606,TUI Group,87000.0,83520.0,90480.0,87000.0,87000.0,,,Senior Data Scientist,UK
607,607,easyJet,114840.0,109620.0,120060.0,113970.0,113970.0,11310.0,,Senior Data Scientist,UK
608,608,QinetiQ,108750.0,104400.0,113100.0,107880.0,107880.0,,,Senior Data Scientist,UK
609,609,Defence Science and Technology Laboratory,65250.0,62640.0,67860.0,65250.0,65250.0,,,Senior Data Scientist,UK
610,610,Capital One,71340.0,67860.0,74820.0,72210.0,72210.0,,,Senior Data Scientist,UK
611,611,Sky Betting & Gaming,95700.0,92220.0,99180.0,95700.0,95700.0,5220.0,,Senior Data Scientist,UK
612,612,Babylon Health,126150.0,121800.0,130500.0,126150.0,126150.0,,,Senior Data Scientist,UK
613,613,EF Education First,155730.0,149640.0,161820.0,157470.0,157470.0,,,Senior Data Scientist,UK
614,614,Elsevier,147900.0,142680.0,153120.0,148770.0,148770.0,14790.0,,Senior Data Scientist,UK
615,615,Allstate Northern Ireland,93090.0,88740.0,97440.0,93960.0,93960.0,,,Senior Data Scientist,UK
616,616,Wood Mackenzie,80040.0,76560.0,83520.0,80040.0,80040.0,,,Senior Data Scientist,UK
617,617,Funding Circle,87000.0,83520.0,90480.0,87870.0,87870.0,,,Senior Data Scientist,UK
618,618,QBE,113970.0,109620.0,118320.0,113100.0,113100.0,1710.42,,Senior Data Scientist,UK
619,619,PHD Worldwide,82650.0,80040.0,85260.0,82650.0,82650.0,,,Senior Data Scientist,UK
620,620,The Pensions Regulator,87000.0,83520.0,90480.0,87870.0,87870.0,,,Senior Data Scientist,UK
621,621,iwoca,116580.0,111360.0,121800.0,116580.0,116580.0,,,Senior Data Scientist,UK
622,622,On the Beach,80910.0,78300.0,83520.0,80040.0,80040.0,,17400.0,Senior Data Scientist,UK
623,623,Teradata,107010.0,102660.0,111360.0,105270.0,105270.0,7830.0,23490.0,Senior Data Scientist,UK
624,624,The Institution of Engineering and Technology,78300.0,74820.0,81780.0,78300.0,78300.0,,,Senior Data Scientist,UK
625,625,GroupM,143550.0,137460.0,149640.0,142680.0,142680.0,,,Senior Data Scientist,UK
626,626,Scottish Water,75690.0,73080.0,78300.0,74820.0,74820.0,,,Senior Data Scientist,UK
627,627,Meltwater,147030.0,140940.0,153120.0,147030.0,147030.0,,,Senior Data Scientist,UK
628,628,Liberty Global,133980.0,128760.0,139200.0,133980.0,133980.0,4350.0,,Senior Data Scientist,UK
629,629,Product Madness,112230.0,107880.0,116580.0,113100.0,113100.0,,,Senior Data Scientist,UK
630,630,Hailo,18270.0,17400.0,19140.0,18270.0,18270.0,,,Senior Data Scientist,UK
631,631,Liaison Group,78300.0,74820.0,81780.0,78300.0,78300.0,,,Senior Data Scientist,UK
633,633,McDermott,132240.0,127020.0,137460.0,130500.0,130500.0,,26100.0,Senior Data Scientist,UK
634,634,Karhoo,78300.0,74820.0,81780.0,78300.0,78300.0,,,Senior Data Scientist,UK
635,635,Owlstone Medical,71340.0,67860.0,74820.0,70470.0,70470.0,,,Senior Data Scientist,UK
636,636,Hybrid Theory,88740.0,85260.0,92220.0,87870.0,87870.0,,,Senior Data Scientist,UK
637,637,The Christie NHS Foundation Trust,84390.0,80040.0,88740.0,83520.0,83520.0,,,Senior Data Scientist,UK
638,638,BenevolentAI,146160.0,140940.0,151380.0,146160.0,146160.0,,,Senior Data Scientist,UK
639,639,Quantcast,122670.0,116580.0,128760.0,122670.0,122670.0,18270.0,,Senior Data Scientist,UK
640,640,WRc,71340.0,67860.0,74820.0,72210.0,72210.0,,,Senior Data Scientist,UK
641,641,Digital Shadows,133980.0,128760.0,139200.0,133980.0,133980.0,,,Senior Data Scientist,UK
642,642,Aridhia Informatics,67860.0,66120.0,69600.0,68730.0,68730.0,,3480.0,Senior Data Scientist,UK
643,643,MyDrive,126150.0,121800.0,130500.0,124410.0,124410.0,31320.0,,Senior Data Scientist,UK
644,644,Annalect,98310.0,93960.0,102660.0,97440.0,97440.0,,,Senior Data Scientist,UK
645,645,Starcount,103530.0,99180.0,107880.0,102660.0,102660.0,,,Senior Data Scientist,UK
646,646,Advizzo,74820.0,71340.0,78300.0,74820.0,74820.0,,,Senior Data Scientist,UK
647,647,Aquila Insight,81780.0,78300.0,85260.0,81780.0,81780.0,,,Senior Data Scientist,UK
648,648,Healthily,110490.0,106140.0,114840.0,109620.0,109620.0,8700.0,,Senior Data Scientist,UK
650,650,REalyse,131370.0,125280.0,137460.0,131370.0,131370.0,,,Senior Data Scientist,UK
651,651,HealthUnlocked,87000.0,83520.0,90480.0,87000.0,87000.0,,,Senior Data Scientist,UK
652,652,Green Running,96570.0,92220.0,100920.0,97440.0,97440.0,,,Senior Data Scientist,UK
653,653,Fractal (United Kingdom),87000.0,83520.0,90480.0,87000.0,87000.0,,,Senior Data Scientist,UK
654,654,The Reach Group,174870.0,167040.0,182700.0,174870.0,174870.0,,,Senior Data Scientist,UK
655,655,Jearni,57907.2,57907.2,61526.4,61526.4,61526.4,,,Senior Data Scientist,UK
656,656,Snap (UK),122670.0,118320.0,127020.0,121800.0,121800.0,,,Senior Data Scientist,UK
657,657,Qbiz,113100.0,109620.0,116580.0,113100.0,113100.0,8700.0,,Senior Data Scientist,UK
658,658,data science incorporated,104400.0,100920.0,107880.0,,,,,Senior Data Scientist,UK
659,659,Barclays,101790.0,97440.0,106140.0,100920.0,100920.0,,,Junior Data Scientist,UK
660,660,IBM,98310.0,93960.0,102660.0,97440.0,97440.0,,,Junior Data Scientist,UK
661,661,HSBC Holdings,60900.0,57420.0,64380.0,60900.0,60900.0,,,Junior Data Scientist,UK
662,662,Sky,85260.0,81780.0,88740.0,85260.0,85260.0,,,Junior Data Scientist,UK
663,663,Jaguar Land Rover,62640.0,59160.0,66120.0,61770.0,61770.0,,,Junior Data Scientist,UK
664,664,Santander,63510.0,60900.0,66120.0,63510.0,63510.0,7830.0,,Junior Data Scientist,UK
665,665,Bloomberg L.P.,80040.0,76560.0,83520.0,79170.0,79170.0,5220.0,,Junior Data Scientist,UK
666,666,Cognizant Technology Solutions,65250.0,62640.0,67860.0,64380.0,64380.0,,,Junior Data Scientist,UK
667,667,BAE Systems Applied Intelligence,65250.0,62640.0,67860.0,65250.0,65250.0,1075.32,,Junior Data Scientist,UK
668,668,ASOS,92220.0,88740.0,95700.0,93090.0,93090.0,,,Junior Data Scientist,UK
669,669,Sage,46980.0,45240.0,48720.0,46110.0,46110.0,,,Junior Data Scientist,UK
670,670,Tata Consultancy Services,48720.0,46980.0,50460.0,48720.0,48720.0,,,Junior Data Scientist,UK
671,671,Thales,20880.0,1740.0,1740.0,,,,,Data Scientist Intern,UK
672,672,Mercer,66990.0,64380.0,69600.0,67860.0,67860.0,889.14,1235.4,Junior Data Scientist,UK
673,673,AXA,53940.0,52200.0,55680.0,53940.0,53940.0,4350.0,,Junior Data Scientist,UK
674,674,University of Newcastle (UK),46980.0,45240.0,48720.0,46980.0,46980.0,,,Junior Data Scientist,UK
675,675,Domestic & General Group,62640.0,59160.0,66120.0,62640.0,62640.0,,,Junior Data Scientist,UK
676,676,MediaCom,43500.0,41760.0,45240.0,43500.0,43500.0,1706.94,,Junior Data Scientist,UK
678,678,Allstate Northern Ireland,45240.0,43500.0,46980.0,45240.0,45240.0,1733.04,,Junior Data Scientist,UK
679,679,Essence,62640.0,59160.0,66120.0,62640.0,62640.0,6090.0,,Junior Data Scientist,UK
680,680,Avis Budget Group,45240.0,43500.0,46980.0,45240.0,45240.0,,,Junior Data Scientist,UK
681,681,Collinson,51330.0,48720.0,53940.0,52200.0,52200.0,,,Junior Data Scientist,UK
682,682,Efficio,95700.0,92220.0,99180.0,95700.0,95700.0,9570.0,,Junior Data Scientist,UK
683,683,The Pensions Regulator,45240.0,43500.0,46980.0,45240.0,45240.0,,,Junior Data Scientist,UK
684,684,Kubrick Group,45240.0,43500.0,46980.0,45240.0,45240.0,5220.0,,Junior Data Scientist,UK
685,685,Clyde & Co,50668.8,50668.8,54288.0,50668.8,50668.8,,,Junior Data Scientist,UK
686,686,Reply,69600.0,66120.0,73080.0,69600.0,69600.0,8700.0,,Junior Data Scientist,UK
687,687,Zopa,78300.0,74820.0,81780.0,,,,,Junior Data Scientist,UK
688,688,Vocalink,72210.0,69600.0,74820.0,,,,,Junior Data Scientist,UK
689,689,The National Crime Agency,60030.0,57420.0,62640.0,60030.0,60030.0,,,Junior Data Scientist,UK
690,690,Smarkets,80910.0,78300.0,83520.0,80040.0,80040.0,,,Junior Data Scientist,UK
691,691,Gocompare,48720.0,46980.0,50460.0,48720.0,48720.0,,,Junior Data Scientist,UK
692,692,The Specialist Works,52200.0,50460.0,53940.0,52200.0,52200.0,1701.72,,Junior Data Scientist,UK
693,693,Black Swan Data,56550.0,53940.0,59160.0,56550.0,56550.0,,,Junior Data Scientist,UK
694,694,Blenheim Chalcot,52200.0,50460.0,53940.0,52200.0,52200.0,,,Junior Data Scientist,UK
695,695,Uniper,41760.0,40020.0,43500.0,41760.0,41760.0,,,Junior Data Scientist,UK
696,696,Brady plc,45240.0,43500.0,46980.0,45240.0,45240.0,,,Junior Data Scientist,UK
697,697,Behavioural Insights Team,20525.04,1680.84,1740.0,,,,,Data Scientist Intern,UK
698,698,Barings,69600.0,66120.0,73080.0,70470.0,70470.0,,,Junior Data Scientist,UK
699,699,Cytora,61770.0,59160.0,64380.0,62640.0,62640.0,,,Junior Data Scientist,UK
700,700,Angel Solutions,26970.0,26100.0,27840.0,26970.0,26970.0,,,Junior Data Scientist,UK
701,701,Mango Solutions,32190.0,31320.0,33060.0,,,,,Data Scientist Intern,UK
702,702,Featurespace,68730.0,66120.0,71340.0,70470.0,70470.0,,,Junior Data Scientist,UK
703,703,XYZ,60900.0,59160.0,62640.0,60900.0,60900.0,,,Junior Data Scientist,UK
704,704,Decibel,70470.0,67860.0,73080.0,69600.0,69600.0,6960.0,,Junior Data Scientist,UK
705,705,MYJAR,60900.0,59160.0,62640.0,60900.0,60900.0,6090.0,,Junior Data Scientist,UK
706,706,Intent HQ,50460.0,48720.0,52200.0,49590.0,49590.0,1.74,,Junior Data Scientist,UK
