,Unnamed: 0,company,salary,lower_bound_salary,upper_bound_salary,base_pay,bonus_pay,cash_bonus,stock_bonus,Position_clean,Country
386,386,IBM,54080.0,52000.0,58240.0,,,,,Data Scientist Intern,CA
387,387,RBC,54000.0,52000.0,56000.0,26.0,26.0,,,Data Scientist Intern,CA
388,388,RBC,52000.0,52000.0,54080.0,,,,,Data Scientist Intern,CA
389,389,RBC,54500.0,52000.0,57000.0,,,,,Data Scientist Intern,CA
390,390,Scotiabank,82000.0,79000.0,85000.0,,,,,Data Scientist Intern,CA
391,391,CIBC,48000.0,46000.0,50000.0,48000.0,48000.0,,,Data Scientist Intern,CA
392,392,University of Victoria,39500.0,38000.0,41000.0,39500.0,39500.0,,,Data Scientist Intern,CA
393,393,Fraser Health,43680.0,41600.0,45760.0,43680.0,43680.0,,,Data Scientist Intern,CA
394,394,Athabasca University,101000.0,97000.0,105000.0,99000.0,99000.0,9000.0,,Lead Data Scientist,CA
395,395,Athabasca University,100500.0,96000.0,105000.0,99500.0,99500.0,9000.0,,Lead Data Scientist,CA
396,396,Major cannabis company,94500.0,91000.0,98000.0,,,,,Lead Data Scientist,CA
397,397,goeasy,134500.0,129000.0,140000.0,135500.0,135500.0,15500.0,,Lead Data Scientist,CA
398,398,EMAGIN Clean Technologies,104000.0,99840.0,108160.0,104000.0,104000.0,,,Lead Data Scientist,CA
399,399,Capital One,88000.0,85000.0,91000.0,87000.0,87000.0,10500.0,,Senior Data Scientist,CA
400,400,Softchoice,47000.0,45000.0,49000.0,,,,,Data Scientist Intern,CA
