,company,position,salary,lower_bound_salary,upper_bound_salary,base_pay,bonus_pay,cash_bonus,stock_bonus
3345,Intelliswift,Data Scientist,199120.0,191260.0,206980.0,197810.0,197810.0,,
3346,TechStyle,Data Scientist,139515.0,134930.0,144100.0,140170.0,140170.0,10480.0,
3347,HSBC Holdings,Data Scientist,39955.0,37990.0,41920.0,39955.0,39955.0,,
3348,ACE USA,Data Scientist,213530.0,205670.0,221390.0,212875.0,212875.0,11135.0,568.5400000000001
3349,OneMagnify,Data Scientist - Hourly Intern,51771.200000000004,49046.4,54496.0,,,,
3350,MobLab,Data Scientist,153270.0,146720.0,159820.0,153270.0,153270.0,,
3351,MetLife,Data Scientist - Intern,73360.0,70740.0,75980.0,,,,
3352,ISO Claims Partners,Data Scientist,105455.0,100870.0,110040.0,104800.0,104800.0,,
3353,GateHouse Media,Data Scientist,125105.0,119210.0,131000.0,125760.0,125760.0,,
3354,Edward Jones,Data Scientist - Hourly Intern,138964.80000000002,133515.2,147139.2,,,,
3355,Koch Industries,Data Scientist,96940.0,93010.0,100870.0,96285.0,96285.0,,
3356,Audatex,Data Scientist - Hourly,54496.0,51771.200000000004,57220.8,51771.200000000004,51771.200000000004,,
3357,WCG,Data Scientist,168990.0,162440.0,175540.0,168335.0,168335.0,,
3358,Symphony Health Solutions,Data Scientist - Hourly Intern,43596.8,43596.8,46321.6,,,,
3359,Bose,Data Scientist,117900.0,112660.0,123140.0,119210.0,119210.0,,
3360,BIT Systems,Data Scientist,115280.0,110040.0,120520.0,114625.0,114625.0,3930.0,28820.0
3361,Indigo,Data Scientist - Monthly Intern,6550.0,6550.0,6550.0,,,,
3362,Sinclair Broadcast Group,Data Scientist,115935.0,112660.0,119210.0,115935.0,115935.0,,
3363,Federated Investors,Data Scientist - Hourly Intern,81744.0,79019.2,87193.6,,,,
3364,Tenet Healthcare,Data Scientist,146720.0,141480.0,151960.0,146720.0,146720.0,,
3365,SimilarWeb,Data Scientist,159165.0,153270.0,165060.0,159165.0,159165.0,,
3366,PowerAdvocate,Data Scientist,120520.0,116590.0,124450.0,119865.0,119865.0,,
3367,One Source Visual Marketing Solutions,Data Scientist,119210.0,113970.0,124450.0,118555.0,118555.0,,
3368,Sencom,Data Scientist - Hourly,160763.2,155313.6,168937.6,160763.2,160763.2,,
3369,UBS,Data Scientist,159820.0,153270.0,166370.0,159165.0,159165.0,,
3370,Avanade,Data Scientist - Hourly Intern,54496.0,51771.200000000004,57220.8,,,,
3371,Massachusetts General Hospital,Data Scientist - Hourly Intern,51771.200000000004,51771.200000000004,54496.0,,,,
3372,Goodreads,Data Scientist,149995.0,142790.0,157200.0,151305.0,151305.0,,
3373,JD.com,Data Scientist,166370.0,159820.0,172920.0,166370.0,166370.0,13755.0,45850.0
3374,New Jersey Institute of Technology,Data Scientist - Monthly,0.0,65500.0,72050.0,69430.0,69430.0,,
3375,JM Family Enterprises,Data Scientist,126415.0,120520.0,132310.0,125105.0,125105.0,,
3376,AgilOne,Data Scientist - Hourly Intern,81744.0,79019.2,87193.6,,,,
3377,RTI International,Data Scientist,136240.0,129690.0,142790.0,136895.0,136895.0,,
3378,Quantgene,Data Scientist - Hourly Intern,62670.4,59945.600000000006,65395.200000000004,,,,
3379,AEP,Data Scientist,108075.0,103490.0,112660.0,107420.0,107420.0,1.31,
3380,BMK Solutions,Data Scientist,112660.0,107420.0,117900.0,111350.0,111350.0,,
3381,Lenovo,Data Scientist - Hourly Intern,70844.8,68120.0,73569.6,,,,
3382,One Technologies,Data Scientist - Hourly Intern,57220.8,54496.0,59945.600000000006,,,,
3383,rMark Bio,Data Scientist,107420.0,103490.0,111350.0,107420.0,107420.0,,
3384,Virtusa,Data Scientist,113315.0,108730.0,117900.0,113315.0,113315.0,,
3385,American Hospital Association,Data Scientist,87115.0,83840.0,90390.0,86460.0,86460.0,,
3386,Odesus,Data Scientist,166370.0,159820.0,172920.0,166370.0,166370.0,,
3387,University of Illinois at Urbana-Champaign,Data Scientist - Hourly Intern,51771.200000000004,49046.4,54496.0,,,,
3388,University of South Carolina,Data Scientist,32750.0,31440.0,34060.0,32750.0,32750.0,,
3389,Blueprint Technologies,Data Scientist,199120.0,191260.0,206980.0,198465.0,198465.0,,
3390,Gleason,Data Scientist - Hourly Intern,57220.8,54496.0,59945.600000000006,,,,
3391,Cognomotiv,Data Scientist,149995.0,144100.0,155890.0,149340.0,149340.0,,
3392,Bloomberg L.P.,Data Scientist - Hourly Intern,125340.8,119891.20000000001,130790.40000000001,,,,
3393,Dartmouth,Data Scientist - Hourly,68120.0,65395.200000000004,70844.8,68120.0,68120.0,,
3394,Hobsons,Data Scientist,141480.0,136240.0,146720.0,142790.0,142790.0,,
3395,American Fidelity Assurance Company,Data Scientist - Hourly Intern,40872.0,40872.0,43596.8,,,,
3396,GCP Applied Technologies,Data Scientist,151960.0,145410.0,158510.0,150650.0,150650.0,,
3397,Information Resources,Data Scientist,95630.0,91700.0,99560.0,96940.0,96940.0,,
3398,Playrix,Data Scientist - Monthly,2620.0,2620.0,2620.0,2620.0,2620.0,,
3399,Pixability,Data Scientist - Hourly Intern,35422.4,35422.4,38147.200000000004,,,,
3400,Teksoft Systems,Data Scientist,159820.0,153270.0,166370.0,159820.0,159820.0,,
3401,Avani Systems,Data Scientist,160475.0,154580.0,166370.0,159165.0,159165.0,,
3402,ConcertoHealth,Data Scientist,99560.0,95630.0,103490.0,99560.0,99560.0,1296.9,
3403,Faraday,Data Scientist,78600.0,74670.0,82530.0,77945.0,77945.0,,
3404,PitchBook,Data Scientist,108730.0,104800.0,112660.0,107420.0,107420.0,,
3405,IBM,Data Scientist - Contractor,137550.0,132310.0,142790.0,,,,
3406,Cross River Bank,Data Scientist - Hourly Intern,40872.0,40872.0,43596.8,,,,
3407,University of South Florida,Data Scientist - Intern,65500.0,62880.0,68120.0,,,,
3408,Freedom Mortgage,Data Scientist,88425.0,85150.0,91700.0,88425.0,88425.0,,
3409,Arimo,Data Scientist,197810.0,188640.0,206980.0,196500.0,196500.0,56330.0,28165.0
3410,New York Stem Cell Foundation,Data Scientist,79910.0,77290.0,82530.0,79910.0,79910.0,,
3411,Green Street,Data Scientist - Hourly Intern,68120.0,68120.0,70844.8,,,,
3412,Lark,Data Scientist - Monthly Intern,6550.0,6550.0,6550.0,,,,
