,company,salary,lower_bound_salary,upper_bound_salary,base_pay,bonus_pay,cash_bonus,stock_bonus,Position_clean
426,Decibel,,80040.0,85260.0,82650.0,82650.0,,,Data Scientist
427,Fractal,,81780.0,88740.0,85260.0,85260.0,,,Data Scientist
428,Arctic Shores,,53940.0,59160.0,57420.0,57420.0,,,Data Scientist
429,Starcount,,97440.0,106140.0,103530.0,103530.0,,,Data Scientist
430,Saatchi & Saatchi Wellness,,76560.0,81780.0,78300.0,78300.0,,,Data Scientist
431,Satalia,,83520.0,90480.0,87000.0,87000.0,,,Data Scientist
432,Intechnica,,66120.0,71340.0,68730.0,68730.0,,,Data Scientist
433,Arkera,20796.48,1727.82,1740.0,,,,,Data Scientist Intern
434,Marshmallow,,92220.0,99180.0,94830.0,94830.0,,,Data Scientist
435,Times Higher Education,,111360.0,121800.0,114840.0,114840.0,,,Data Scientist
436,Klarna,,73080.0,80040.0,77430.0,77430.0,,,Data Scientist
437,Sensyne Health,146160.0,12180.0,12180.0,,,,,Data Scientist
438,Cloud Perspective,,45240.0,48720.0,46980.0,46980.0,,,Data Scientist
439,Brady,,66120.0,71340.0,69600.0,69600.0,,,Data Scientist
440,Optimum Patient Care,,50460.0,55680.0,52200.0,52200.0,,,Data Scientist
441,AMD,,66120.0,73080.0,68730.0,68730.0,6960.0,,Data Scientist
442,Hack Partners,,66120.0,73080.0,,,,,Data Scientist
443,Ravelin Technology ,,74820.0,81780.0,79170.0,79170.0,,,Data Scientist
444,AIR Worldwide,,59160.0,62640.0,61770.0,61770.0,,,Data Scientist
445,Century-Tech,,92220.0,99180.0,95700.0,95700.0,,,Data Scientist
446,Second Nature (UK),,67860.0,71340.0,69600.0,69600.0,697.74,,Data Scientist
447,Headstart,,67860.0,73080.0,70470.0,70470.0,,,Data Scientist
448,DataSine,,74820.0,81780.0,78300.0,78300.0,,,Data Scientist
449,Healthily,,83520.0,90480.0,87000.0,87000.0,,,Data Scientist
450,"Wrightington, Wigan and Leigh NHS",,76560.0,81780.0,78300.0,78300.0,,,Data Scientist
451,Hello Soda,,50460.0,53940.0,53070.0,53070.0,,,Data Scientist
452,Panaseer,,78300.0,85260.0,81780.0,81780.0,,,Data Scientist
453,Panaseer,,74820.0,81780.0,81780.0,81780.0,,,Data Scientist
454,LKQ,,50460.0,53940.0,52200.0,52200.0,,,Data Scientist
455,Fospha,41760.0,3480.0,3480.0,,,,,Data Scientist Intern
456,MAANA,,147900.0,156600.0,152250.0,152250.0,,,Data Scientist
457,Senseye,,90480.0,99180.0,95700.0,95700.0,,,Data Scientist
458,Netacea,,55680.0,59160.0,57420.0,57420.0,,,Data Scientist
459,SMS,,67860.0,73080.0,72210.0,72210.0,,,Data Scientist
460,Datatonic,,76560.0,81780.0,78300.0,78300.0,,,Data Scientist
461,Adarga,,76560.0,80040.0,57420.0,57420.0,,,Data Scientist
462,Wagestream,,80040.0,87000.0,81780.0,81780.0,,,Data Scientist
463,Adarga,,55680.0,59160.0,,,,,Data Scientist Intern
464,Apolitical,,62640.0,69600.0,66120.0,66120.0,,,Data Scientist
465,Origami Energy,,80040.0,88740.0,84390.0,84390.0,,,Data Scientist
466,Unemployed Magazine,,41760.0,45240.0,43500.0,43500.0,,,Data Scientist
467,Growth Intelligence,,76560.0,81780.0,79170.0,79170.0,,,Data Scientist
468,Eagle Genomics,,62640.0,67860.0,65250.0,65250.0,,,Data Scientist
469,Ferranti Technologies,,67860.0,74820.0,72210.0,72210.0,,,Data Scientist
470,ResearchBods,,50460.0,55680.0,53070.0,53070.0,,,Data Scientist
471,Cabot Financial,,83520.0,90480.0,87000.0,87000.0,2610.0,,Data Scientist
472,IOM,41760.0,3480.0,3480.0,,,,,Data Scientist
473,Cambridge Analytica,,76560.0,81780.0,78300.0,78300.0,13050.0,,Data Scientist
