,company,position,salary,lower_bound_salary,upper_bound_salary,url
129,Top Hat,Data Scientist,$96K - CA$104K,CA$96K,CA$104K,"/Salary/Top-Hat-Data-Scientist-Canada-Salaries-EJI_IE527419.0,7_KO8,22_IL.23,29_IN3.htm"
130,SSENSE,Data Scientist,$68K - CA$74K,CA$68K,CA$74K,"/Salary/SSENSE-Data-Scientist-Canada-Salaries-EJI_IE475746.0,6_KO7,21_IL.22,28_IN3.htm"
131,Environment Canada,Data Scientist,$67K - CA$72K,CA$67K,CA$72K,"/Salary/Environment-Canada-Data-Scientist-Canada-Salaries-EJI_IE196041.0,18_KO19,33_IL.34,40_IN3.htm"
132,Cossette Communication,Data Scientist,$62K - CA$69K,CA$62K,CA$69K,"/Salary/Cossette-Communication-Data-Scientist-Canada-Salaries-EJI_IE18509.0,22_KO23,37_IL.38,44_IN3.htm"
133,GlaxoSmithKline,Data Scientist,$91K - CA$98K,CA$91K,CA$98K,"/Salary/GlaxoSmithKline-Data-Scientist-Canada-Salaries-EJI_IE3477.0,15_KO16,30_IL.31,37_IN3.htm"
134,Lightspeed,Data Scientist,$71K - CA$78K,CA$71K,CA$78K,"/Salary/Lightspeed-Data-Scientist-Canada-Salaries-EJI_IE648762.0,10_KO11,25_IL.26,32_IN3.htm"
135,St. Michael's Hospital,Data Scientist - Hourly,$35 - CA$38hourly,CA$35,CA$38,"/Hourly-Pay/St-Michael-s-Hospital-Data-Scientist-Canada-Hourly-Pay-EJI_IE485054.0,21_KO22,36_IL.37,43_IN3.htm"
136,Kingston General Hospital,Data Scientist,$80K - CA$86K,CA$80K,CA$86K,"/Salary/Kingston-General-Hospital-Data-Scientist-Canada-Salaries-EJI_IE101113.0,25_KO26,40_IL.41,47_IN3.htm"
137,Unilever,Data Scientist,$77K - CA$83K,CA$77K,CA$83K,"/Salary/Unilever-Data-Scientist-Canada-Salaries-EJI_IE3513.0,8_KO9,23_IL.24,30_IN3.htm"
138,ABC,Data Scientist,$77K - CA$83K,CA$77K,CA$83K,"/Salary/ABC-Data-Scientist-Canada-Salaries-EJI_IE130.0,3_KO4,18_IL.19,25_IN3.htm"
139,ABC,Data Scientist,$77K - CA$84K,CA$77K,CA$84K,"/Salary/ABC-Data-Scientist-Canada-Salaries-EJI_IE130.0,3_KO4,18_IL.19,25_IN3.htm"
140,Health Canada,Data Scientist,$80K - CA$88K,CA$80K,CA$88K,"/Salary/Health-Canada-Data-Scientist-Canada-Salaries-EJI_IE218307.0,13_KO14,28_IL.29,35_IN3.htm"
141,IQVIA,Data Scientist,$38K - CA$41K,CA$38K,CA$41K,"/Salary/IQVIA-Data-Scientist-Canada-Salaries-EJI_IE8347.0,5_KO6,20_IL.21,27_IN3.htm"
142,Ritchie Bros.,Data Scientist,$104K - CA$112K,CA$104K,CA$112K,"/Salary/Ritchie-Bros-Data-Scientist-Canada-Salaries-EJI_IE7886.0,12_KO13,27_IL.28,34_IN3.htm"
143,Self,Data Scientist,$96K - CA$103K,CA$96K,CA$103K,"/Salary/Self-Data-Scientist-Canada-Salaries-EJI_IE1560378.0,4_KO5,19_IL.20,26_IN3.htm"
144,Nutrien,Data Scientist,$72K - CA$78K,CA$72K,CA$78K,"/Salary/Nutrien-Data-Scientist-Canada-Salaries-EJI_IE2017225.0,7_KO8,22_IL.23,29_IN3.htm"
145,Tech Mahindra,Data Scientist,$67K - CA$72K,CA$67K,CA$72K,"/Salary/Tech-Mahindra-Data-Scientist-Canada-Salaries-EJI_IE135932.0,13_KO14,28_IL.29,35_IN3.htm"
146,Finastra,Data Scientist,$76K - CA$83K,CA$76K,CA$83K,"/Salary/Finastra-Data-Scientist-Canada-Salaries-EJI_IE1689268.0,8_KO9,23_IL.24,30_IN3.htm"
147,Alberta Motor Association,Data Scientist,$82K - CA$89K,CA$82K,CA$89K,"/Salary/Alberta-Motor-Association-Data-Scientist-Canada-Salaries-EJI_IE212921.0,25_KO26,40_IL.41,47_IN3.htm"
148,Revenu Quebec,Data Scientist,$84K - CA$91K,CA$84K,CA$91K,"/Salary/Revenu-Quebec-Data-Scientist-Canada-Salaries-EJI_IE454241.0,13_KO14,28_IL.29,35_IN3.htm"
149,Toronto Star,Data Scientist,$58K - CA$63K,CA$58K,CA$63K,"/Salary/Toronto-Star-Data-Scientist-Canada-Salaries-EJI_IE346756.0,12_KO13,27_IL.28,34_IN3.htm"
150,Federal Government,Data Scientist,$117K - CA$127K,CA$117K,CA$127K,"/Salary/Federal-Government-Data-Scientist-Canada-Salaries-EJI_IE236635.0,18_KO19,33_IL.34,40_IN3.htm"
151,Tucows,Data Scientist,$63K - CA$68K,CA$63K,CA$68K,"/Salary/Tucows-Data-Scientist-Canada-Salaries-EJI_IE6018.0,6_KO7,21_IL.22,28_IN3.htm"
152,Kronos Incorporated,Data Scientist,$70K - CA$77K,CA$70K,CA$77K,"/Salary/Kronos-Incorporated-Data-Scientist-Canada-Salaries-EJI_IE2196.0,19_KO20,34_IL.35,41_IN3.htm"
153,Employment and Social Development Canada,Data Scientist,$56K - CA$61K,CA$56K,CA$61K,"/Salary/Employment-and-Social-Development-Canada-Data-Scientist-Canada-Salaries-EJI_IE818781.0,40_KO41,55_IL.56,62_IN3.htm"
154,The Globe & Mail,Data Scientist - Intern,$58K - CA$63K,CA$58K,CA$63K,"/Intern-Salary/The-Globe-and-Mail-Canada-Internship-Salary-EI_IE391664.0,18_IL.19,25_IN3.htm?filter.jobTitleFTS=Data+Scientist"
155,Pratt & Whitney,Data Scientist,$44K - CA$48K,CA$44K,CA$48K,"/Salary/Pratt-and-Whitney-Data-Scientist-Canada-Salaries-EJI_IE11041.0,17_KO18,32_IL.33,39_IN3.htm"
156,Northbridge Insurance,Data Scientist - Hourly Intern,$25 - CA$27hourly,CA$25,CA$27,"/Intern-Salary/Northbridge-Insurance-Canada-Internship-Salary-EI_IE503430.0,21_IL.22,28_IN3.htm?filter.jobTitleFTS=Data+Scientist"
157,Pitney Bowes,Data Scientist,$86K - CA$93K,CA$86K,CA$93K,"/Salary/Pitney-Bowes-Data-Scientist-Canada-Salaries-EJI_IE535.0,12_KO13,27_IL.28,34_IN3.htm"
158,Yardi Systems,Data Scientist,$71K - CA$77K,CA$71K,CA$77K,"/Salary/Yardi-Systems-Data-Scientist-Canada-Salaries-EJI_IE31057.0,13_KO14,28_IL.29,35_IN3.htm"
159,Seedbox Technologies,Data Scientist,$49K - CA$53K,CA$49K,CA$53K,"/Salary/Seedbox-Technologies-Data-Scientist-Canada-Salaries-EJI_IE680856.0,20_KO21,35_IL.36,42_IN3.htm"
160,Rocky Mountaineer,Data Scientist,$63K - CA$67K,CA$63K,CA$67K,"/Salary/Rocky-Mountaineer-Data-Scientist-Canada-Salaries-EJI_IE131661.0,17_KO18,32_IL.33,39_IN3.htm"
161,Jewish General Hospital,Data Scientist - Hourly,$25 - CA$27hourly,CA$25,CA$27,"/Hourly-Pay/Jewish-General-Hospital-Data-Scientist-Canada-Hourly-Pay-EJI_IE300440.0,23_KO24,38_IL.39,45_IN3.htm"
162,Canadian Food Inspection Agency,Data Scientist,$77K - CA$83K,CA$77K,CA$83K,"/Salary/Canadian-Food-Inspection-Agency-Data-Scientist-Canada-Salaries-EJI_IE580936.0,31_KO32,46_IL.47,53_IN3.htm"
163,Unbounce,Data Scientist,$116K - CA$125K,CA$116K,CA$125K,"/Salary/Unbounce-Data-Scientist-Canada-Salaries-EJI_IE1011784.0,8_KO9,23_IL.24,30_IN3.htm"
164,League,Data Scientist,$97K - CA$103K,CA$97K,CA$103K,"/Salary/League-Data-Scientist-Canada-Salaries-EJI_IE1165876.0,6_KO7,21_IL.22,28_IN3.htm"
165,Sauder School of Business,Data Scientist - Hourly,$21 - CA$23hourly,CA$21,CA$23,"/Hourly-Pay/Sauder-School-of-Business-Data-Scientist-Canada-Hourly-Pay-EJI_IE487140.0,25_KO26,40_IL.41,47_IN3.htm"
