,company,position,salary,lower_bound_salary,upper_bound_salary,base_pay,bonus_pay,cash_bonus,stock_bonus
1478,Amitree,Data Scientist,$131K - $142K,$131K,$142K,$132K - $143K,$132K - $143K,,
1479,Bankers Healthcare Group,Data Scientist,$108K - $118K,$108K,$118K,$110K - $118K,$110K - $118K,,
1480,U.Group,Data Scientist,$86K - $95K,$86K,$95K,$88K - $94K,$88K - $94K,$2K - $3K,
1481,Graph Concepts,Data Scientist,$145K - $157K,$145K,$157K,$145K - $157K,$145K - $157K,$10K - $11K,
1482,Amtrak,Data Scientist - Hourly Intern,$27 - $29hourly,$27,$29,,,,
1483,Hitachi America,Data Scientist,$115K - $125K,$115K,$125K,,,,
1484,Swish Analytics,Data Scientist,$107K - $116K,$107K,$116K,$107K - $114K,$107K - $114K,,
1485,Zoetis,Data Scientist - Hourly Contractor,$44 - $48hourly,$44,$48,,,,
1486,CLOUDRAY,Data Scientist,$99K - $107K,$99K,$107K,$99K - $107K,$99K - $107K,,
1487,SalesLoft,Data Scientist,$132K - $141K,$132K,$141K,$133K - $143K,$133K - $143K,,
1488,OpenFin,Data Scientist,$137K - $148K,$137K,$148K,$138K - $148K,$138K - $148K,,
1489,Virgin America,Data Scientist,$131K - $142K,$131K,$142K,$131K - $144K,$131K - $144K,,
1490,Rapidminer,Data Scientist,$130K - $141K,$130K,$141K,$130K - $140K,$130K - $140K,$40K - $44K,
1491,Fiksu,Data Scientist,$109K - $119K,$109K,$119K,$110K - $119K,$110K - $119K,,
1492,Redhorse Corporation,Data Scientist,$97K - $107K,$97K,$107K,$98K - $107K,$98K - $107K,,
1493,Los Angeles Times,Data Scientist - Hourly,$27 - $30hourly,$27,$30,$27 - $30,$27 - $30,,
1494,Apixio,Data Scientist,$129K - $138K,$129K,$138K,$127K - $138K,$127K - $138K,,
1495,Cerego,Data Scientist,$123K - $133K,$123K,$133K,$123K - $133K,$123K - $133K,,
1496,Locus Analytics,Data Scientist - Hourly Intern,$21 - $23hourly,$21,$23,,,,
1497,ABC,Data Scientist - Contractor,$60K - $64K,$60K,$64K,,,,
1498,Analysis Group,Data Scientist,$100K - $107K,$100K,$107K,$99K - $107K,$99K - $107K,,
1499,TransLoc,Data Scientist,$109K - $116K,$109K,$116K,$108K - $116K,$108K - $116K,,
1500,A9.com,Data Scientist - Monthly Intern,$9K - $10K,$9K,$10K,,,,
1501,National Fire Protection Association,Data Scientist,$81K - $88K,$81K,$88K,$80K - $87K,$80K - $87K,,
1502,Voxer,Data Scientist,$158K - $170K,$158K,$170K,$156K - $170K,$156K - $170K,,
1503,Tribe Dynamics,Data Scientist,$140K - $152K,$140K,$152K,$142K - $152K,$142K - $152K,,
1504,Sanchez Oil & Gas,Data Scientist,$126K - $138K,$126K,$138K,$127K - $138K,$127K - $138K,,
1505,Featurespace,Data Scientist,$122K - $133K,$122K,$133K,$121K - $133K,$121K - $133K,,
1506,Maritz,Data Scientist,$72K - $78K,$72K,$78K,$72K - $79K,$72K - $79K,,
1507,U.S. Department of Transportation,Data Scientist,$84K - $90K,$84K,$90K,$83K - $89K,$83K - $89K,,
1508,Cityglobe,Data Scientist,$89K - $95K,$89K,$95K,$89K - $96K,$89K - $96K,,
1509,Rho AI,Data Scientist,$76K - $84K,$76K,$84K,$76K - $83K,$76K - $83K,,
1510,Immersion Corporation,Data Scientist,$125K - $137K,$125K,$137K,$127K - $137K,$127K - $137K,,
1511,dotData,Data Scientist,$130K - $139K,$130K,$139K,$130K - $140K,$130K - $140K,,
1512,King,Data Scientist - Monthly,$5K - $5K,$5K,$5K,$39K - $107K,$39K - $107K,,
1513,AT&T,Data Scientist - Hourly,$65 - $70hourly,$65,$70,$25 - $32,$25 - $32,,
1514,Stealthbits Technologies,Data Scientist,$81K - $88K,$81K,$88K,$82K - $89K,$82K - $89K,,
1515,Storm8,Data Scientist,$146K - $160K,$146K,$160K,$147K - $157K,$147K - $157K,,
1516,GoPro,Data Scientist - Hourly Intern,$47 - $51hourly,$47,$51,,,,
1517,Enron,Data Scientist,$83K - $89K,$83K,$89K,,,,
1518,Corona Environmental Consulting,Data Scientist,$52K - $57K,$52K,$57K,$53K - $57K,$53K - $57K,$1K - $1K,
1519,Sanofi,Data Scientist,$97K - $106K,$97K,$106K,$97K - $105K,$97K - $105K,,
1520,EGlobalTech,Data Scientist - Hourly Intern,$25 - $26hourly,$25,$26,,,,
1521,DeepMacro,Data Scientist,$97K - $106K,$97K,$106K,$98K - $106K,$98K - $106K,,
1522,Infor,Data Scientist - Hourly Intern,$21 - $23hourly,$21,$23,,,,
1523,Intertrust Technologies,Data Scientist - Hourly Intern,$25 - $27hourly,$25,$27,,,,
1524,Google,Data Scientist,$67K - $73K,$67K,$73K,"$140,000","$25,508","$25,508","$63,861"
1525,Strategic Insight (New York),Data Scientist,$90K - $97K,$90K,$97K,$90K - $98K,$90K - $98K,,
