,company,position,salary,lower_bound_salary,upper_bound_salary,base_pay,bonus_pay,cash_bonus,stock_bonus
161,Jewish General Hospital,Data Scientist - Hourly,$25 - CA$27hourly,CA$25,CA$27,CA$25 - CA$27,CA$25 - CA$27,,
162,Canadian Food Inspection Agency,Data Scientist,$77K - CA$83K,CA$77K,CA$83K,CA$76K - CA$83K,CA$76K - CA$83K,,
163,Unbounce,Data Scientist,$116K - CA$125K,CA$116K,CA$125K,CA$117K - CA$126K,CA$117K - CA$126K,,
164,League,Data Scientist,$97K - CA$103K,CA$97K,CA$103K,CA$97K - CA$105K,CA$97K - CA$105K,,
165,Sauder School of Business,Data Scientist - Hourly,$21 - CA$23hourly,CA$21,CA$23,CA$21 - CA$23,CA$21 - CA$23,,
166,Prodigy Education,Data Scientist,$106K - CA$114K,CA$106K,CA$114K,CA$106K - CA$113K,CA$106K - CA$113K,,CA$2K - CA$2K
167,T4G,Data Scientist,$74K - CA$80K,CA$74K,CA$80K,CA$73K - CA$80K,CA$73K - CA$80K,,
168,Mastercard,Data Scientist,$103K - CA$113K,CA$103K,CA$113K,CA$103K - CA$112K,CA$103K - CA$112K,CA$10K - CA$11K,
169,Kik,Data Scientist - Monthly Intern,$5K - CA$5K,CA$5K,CA$5K,,,,
170,Farmers Edge,Data Scientist,$59K - CA$63K,CA$59K,CA$63K,CA$59K - CA$64K,CA$59K - CA$64K,,
171,Torstar,Data Scientist,$58K - CA$63K,CA$58K,CA$63K,CA$58K - CA$62K,CA$58K - CA$62K,,
172,500px,Data Scientist - Monthly Intern,$5K - CA$5K,CA$5K,CA$5K,,,,
173,ruby,Data Scientist,$80K - CA$86K,CA$80K,CA$86K,CA$80K - CA$85K,CA$80K - CA$85K,CA$8K - CA$8K,
174,Xe,Data Scientist - Monthly Intern,$3K - CA$3K,CA$3K,CA$3K,,,,
175,Xe,Data Scientist,$86K - CA$93K,CA$86K,CA$93K,CA$86K - CA$94K,CA$86K - CA$94K,CA$4K - CA$5K,
176,Hotspex,Data Scientist,$68K - CA$73K,CA$68K,CA$73K,CA$68K - CA$73K,CA$68K - CA$73K,,
177,Adastra Group,Data Scientist,$77K - CA$84K,CA$77K,CA$84K,CA$77K - CA$82K,CA$77K - CA$82K,CA$19K - CA$21K,
178,Maluuba,Data Scientist,$121K - CA$133K,CA$121K,CA$133K,CA$122K - CA$133K,CA$122K - CA$133K,,CA$77K - CA$83K
179,Facebook,Data Scientist - Hourly Intern,$35 - CA$37hourly,CA$35,CA$37,,,,
180,Trulioo,Data Scientist,$93K - CA$101K,CA$93K,CA$101K,CA$95K - CA$102K,CA$95K - CA$102K,,
181,INVISTA,Data Scientist - Intern,$44K - CA$47K,CA$44K,CA$47K,,,,
182,Thinkific,Data Scientist - Hourly Intern,$20 - CA$21hourly,CA$20,CA$21,,,,
183,Omnicom Media Group,Data Scientist,$91K - CA$100K,CA$91K,CA$100K,CA$91K - CA$99K,CA$91K - CA$99K,CA$3K - CA$4K,
184,BNOTIONS,Data Scientist,$79K - CA$85K,CA$79K,CA$85K,CA$79K - CA$86K,CA$79K - CA$86K,,
185,Upwork,Data Scientist,$96K - CA$104K,CA$96K,CA$104K,CA$96K - CA$105K,CA$96K - CA$105K,,
186,CARFAX Canada,Data Scientist - Hourly Intern,$25 - CA$27hourly,CA$25,CA$27,,,,
187,Eyereturn Marketing,Data Scientist,$104K - CA$112K,CA$104K,CA$112K,CA$102K - CA$111K,CA$102K - CA$111K,,
188,Arvato,Data Scientist,$43K - CA$46K,CA$43K,CA$46K,CA$43K - CA$46K,CA$43K - CA$46K,,
189,Magnet Forensics,Data Scientist,$48K - CA$52K,CA$48K,CA$52K,CA$48K - CA$52K,CA$48K - CA$52K,,
190,Experis,Data Scientist - Hourly Contractor,$23 - CA$25hourly,CA$23,CA$25,,,,
191,Verizon,Data Scientist - Contractor,$90K - CA$98K,CA$90K,CA$98K,,,,
192,First Derivatives,Data Scientist,$56K - CA$60K,CA$56K,CA$60K,CA$56K - CA$60K,CA$56K - CA$60K,,
193,Statflo,Data Scientist,$69K - CA$75K,CA$69K,CA$75K,CA$69K - CA$75K,CA$69K - CA$75K,,
194,SinaLite,Data Scientist,$58K - CA$62K,CA$58K,CA$62K,CA$29 - CA$32,CA$29 - CA$32,,
195,SinaLite,Data Scientist - Hourly,$29 - CA$31hourly,CA$29,CA$31,CA$29 - CA$32,CA$29 - CA$32,,
196,Multi-Health Systems,Data Scientist,$75K - CA$82K,CA$75K,CA$82K,CA$76K - CA$82K,CA$76K - CA$82K,,
197,district m,Data Scientist,$92K - CA$99K,CA$92K,CA$99K,CA$91K - CA$99K,CA$91K - CA$99K,,CA$10 - CA$11
198,Neurio Technology,Data Scientist,$57K - CA$61K,CA$57K,CA$61K,CA$57K - CA$62K,CA$57K - CA$62K,,
199,RS Energy Group,Data Scientist,$86K - CA$94K,CA$86K,CA$94K,CA$87K - CA$94K,CA$87K - CA$94K,,
200,Overbond,Data Scientist - Monthly Intern,$1K - CA$1K,CA$1K,CA$1K,,,,
201,LCI Éducation,Data Scientist,$45K - CA$48K,CA$45K,CA$48K,CA$44K - CA$48K,CA$44K - CA$48K,,
202,Two Hat Security,Data Scientist - Monthly Intern,$3K - CA$4K,CA$3K,CA$4K,,,,
203,Two Hat Security,Data Scientist - Hourly Intern,$9 - CA$10hourly,CA$9,CA$10,,,,
204,Uncharted,Data Scientist,$111K - CA$119K,CA$111K,CA$119K,CA$110K - CA$120K,CA$110K - CA$120K,,
205,Canadian Internet Registration Authority,Data Scientist - Hourly Intern,$23 - CA$25hourly,CA$23,CA$25,,,,
206,EMAGIN Clean Technologies,Data Scientist,$78K - CA$85K,CA$78K,CA$85K,CA$78K - CA$84K,CA$78K - CA$84K,,
207,Field Effect,Data Scientist,$72K - CA$78K,CA$72K,CA$78K,CA$72K - CA$78K,CA$72K - CA$78K,CA$10K - CA$10K,
208,daVinci,Data Scientist - Hourly Intern,$24 - CA$26hourly,CA$24,CA$26,,,,
